,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
2926,Falls Church city,VA,11.4,26.6,7.3,74.4,97.3,1332,9487,1.1,865,0.5,9.3,5.3,9.5,0.1,4.3,80.6,72.3,59.4,5020,5496,660900,2.53,44.2,120000,59088,4.0,547,16.9,2.0,23.4,79.1,0,27.3,51.0,686,12332,13601,10.7,6169.1,562,0,2880,26089,0.0,0.0,0.0,0.0,0.0,1479,32.3
2826,Arlington County,VA,9.3,17.2,6.2,71.7,93.3,17539,132556,1.7,6219,0.7,10.3,9.1,15.7,0.1,3.2,76.6,62.8,45.2,94454,110601,584600,2.24,63.3,103208,62018,8.0,2160,23.0,25.97,29.0,78.9,0,27.3,49.9,12638,207627,226908,9.3,7993.6,11640,4531,24829,12176,0.6,9.5,6.0,8.0,0.0,19422,32.0
1810,Los Alamos County,NM,16.6,23.3,5.5,63.4,97.0,1044,0,0.0,377,1.3,6.4,0.7,16.7,0.1,2.5,89.0,73.6,75.4,7590,8312,284500,2.35,22.6,106686,51044,4.4,3,9.7,109.17,16.4,86.8,0,16.0,49.2,1809,17950,17682,-1.5,164.4,177,0,979,5279,0.0,2.7,0.0,6.1,0.0,1496,49.3
2915,Alexandria city,VA,10.1,17.8,7.5,61.4,91.2,13472,83411,0.1,4640,0.8,6.9,22.6,16.6,0.1,3.1,66.4,52.3,43.3,65369,75329,476700,2.17,63.1,85706,54608,8.4,1324,26.3,15.03,31.1,78.3,2845,30.5,51.6,10810,139966,150575,7.5,9314.3,4717,5257,23537,16785,0.8,7.6,14.0,6.8,0.0,15161,32.6
1205,Howard County,MD,12.2,24.6,6.0,60.0,94.9,24634,165518,5.3,8946,0.4,16.9,18.6,6.4,0.1,3.6,60.4,55.4,73.9,106142,115311,428100,2.74,24.7,109865,48172,4.6,1446,18.2,250.74,22.5,88.9,23683,30.6,51.0,18971,287085,309284,7.7,1144.9,5656,71708,45549,16622,0.6,13.5,14.9,2.6,0.0,30899,30.1
1858,New York County,NY,14.4,14.7,5.2,58.9,86.0,219326,2116201,2.6,105439,1.2,12.5,18.3,25.9,0.2,3.2,64.7,47.1,22.8,736192,867609,828100,2.1,98.5,69659,62498,17.7,5380,28.5,22.83,40.4,83.7,83150,30.3,52.8,41775,1585873,1636268,3.2,69467.5,171825,1087574,387975,23872,0.6,11.9,8.7,10.5,0.0,307128,30.6
2848,Fairfax County,VA,11.5,23.8,6.7,58.6,91.8,97330,584523,1.0,29556,0.7,19.2,10.0,16.4,0.1,3.5,66.6,52.0,69.0,389908,410287,476600,2.8,27.9,110292,50532,5.9,2249,29.5,390.97,37.3,85.7,20526,32.0,50.5,83545,1081726,1137538,5.2,2766.8,27057,132994,140023,13925,0.4,17.3,7.0,8.8,0.1,109512,31.3
250,Boulder County,CO,12.2,20.3,5.0,58.3,93.9,35710,139136,0.9,11696,0.8,4.5,1.1,13.8,0.1,2.6,90.8,78.3,63.1,120521,130938,350900,2.42,28.9,67956,38011,14.2,1371,10.9,726.29,16.5,76.2,38558,22.7,49.8,15432,294567,313333,6.4,405.6,6689,27821,40392,13660,0.5,2.4,0.5,3.5,0.0,42506,30.2
2872,Loudoun County,VA,7.9,29.4,7.7,57.9,93.8,27410,134845,3.6,8987,0.5,17.3,7.8,13.4,0.1,3.5,70.7,58.8,77.7,106997,123150,437700,3.04,16.4,122238,46565,3.6,3480,22.8,515.56,29.6,87.9,14001,33.1,50.4,20436,312311,363050,16.2,605.8,6101,14919,44695,16109,0.6,13.0,5.0,6.9,0.1,28697,31.7
1207,Montgomery County,MD,13.7,23.5,6.5,57.1,91.2,103731,419956,1.5,26739,0.7,15.2,18.8,18.7,0.1,3.2,62.0,46.0,67.3,360563,385721,446300,2.72,33.2,98221,49038,6.7,3839,32.2,491.25,39.1,85.8,32641,34.2,51.8,48402,971777,1030447,6.0,1978.2,18727,74266,132557,14080,0.7,12.1,12.4,10.0,0.1,115471,32.4
293,Pitkin County,CO,15.6,16.3,3.7,56.8,96.0,3528,16314,3.1,1559,0.5,1.4,0.8,9.9,0.1,1.5,95.7,86.5,68.7,7507,13039,611200,2.27,38.8,72745,51814,10.1,98,12.2,970.7,16.5,84.2,0,17.0,47.6,950,17148,17626,2.8,17.7,2708,646,3995,26461,0.0,0.0,0.0,2.9,0.0,5100,26.5
262,Douglas County,CO,9.9,28.3,6.3,55.8,97.5,28689,91934,5.2,8040,0.5,4.3,1.4,8.3,0.1,2.4,91.3,83.9,80.9,103780,113777,335600,2.82,15.8,101591,43634,3.9,3230,6.4,840.25,8.8,85.4,19508,27.7,50.3,19635,285465,314638,10.2,339.7,4350,0,37654,13846,0.0,2.4,0.0,3.1,0.0,32992,27.7
1957,Orange County,NC,11.2,20.4,4.7,55.8,91.0,12185,38205,1.6,3092,0.6,7.7,12.2,8.4,0.1,2.5,76.8,69.6,60.5,51403,56488,272600,2.45,28.2,55569,34465,17.8,304,12.8,397.96,15.9,76.5,0,22.0,52.2,5892,133801,140420,5.0,336.2,2756,5805,11952,9583,0.9,2.8,6.4,0.0,0.0,12898,35.5
725,Hamilton County,IN,10.4,28.5,6.8,55.1,96.3,24778,114197,3.6,8081,0.2,5.6,4.1,3.8,0.1,1.8,88.2,84.9,79.2,103234,116286,215600,2.73,15.9,82468,39521,5.1,3684,7.2,394.27,9.3,86.9,15699,26.5,51.2,15778,274569,302623,10.2,696.4,4371,27794,32954,12582,0.0,3.1,1.8,1.4,0.0,28209,27.6
206,Marin County,CA,19.4,20.5,4.8,54.6,92.4,36468,98110,4.0,9654,1.1,6.1,2.9,16.0,0.3,3.7,86.0,72.2,62.8,102912,112295,781900,2.39,26.9,90839,56791,7.7,390,19.0,520.31,23.0,85.0,3972,28.6,51.2,15439,252409,260750,3.3,485.1,6265,23730,45893,18648,0.0,0.0,0.9,0.0,0.0,42712,33.9
270,Gunnison County,CO,11.2,17.9,4.8,54.5,93.3,2243,6056,-1.6,1053,2.5,0.7,0.5,9.3,0.0,1.8,94.5,87.5,59.1,6293,11574,329500,2.27,28.3,52332,27654,17.7,58,4.3,3239.1,9.2,73.3,0,13.4,45.9,1031,15324,15725,2.6,4.7,896,0,2115,14116,0.0,0.0,0.0,0.0,0.0,3300,21.3
301,San Miguel County,CO,10.4,18.9,4.7,53.5,96.1,1660,4430,3.2,614,1.4,0.9,0.7,9.6,0.1,1.6,95.3,87.1,64.4,3234,6736,448000,2.31,41.7,63594,40827,10.6,36,8.4,1286.61,10.0,78.8,0,19.3,46.9,396,7359,7840,6.5,5.7,771,0,978,13114,0.0,0.0,0.0,3.1,0.0,2294,23.3
2521,Williamson County,TN,11.6,28.1,5.8,52.8,94.6,22194,100666,4.5,6227,0.3,3.7,4.5,4.7,0.1,1.4,90.0,85.6,81.3,66364,73793,334900,2.84,12.3,89779,41292,5.7,1902,5.9,582.6,7.5,87.3,11068,26.7,51.2,9342,183182,205226,12.0,314.4,3834,27559,33069,19834,0.0,1.4,2.2,1.4,0.0,25339,22.5
223,San Francisco County,CA,14.4,13.4,4.6,52.4,86.3,89078,542366,3.8,32360,0.8,34.9,5.8,15.3,0.5,4.2,53.8,41.2,36.6,345344,386564,744600,2.31,67.7,75604,48486,13.5,2711,35.6,46.87,45.0,84.1,20774,30.5,49.1,29478,805235,852469,5.9,17179.1,50391,105621,123999,15516,0.0,24.0,2.7,6.6,0.2,105030,30.1
319,District of Columbia,DC,11.3,17.5,6.5,52.4,88.4,52262,491130,1.7,21919,0.6,4.0,49.0,10.4,0.2,2.6,43.6,35.8,42.1,263649,306174,445200,2.2,62.3,65830,45290,18.6,4189,13.8,61.05,15.8,80.6,3328,29.7,52.6,30520,601723,658893,9.5,9856.6,42781,21179,38437,6555,0.9,5.9,28.2,6.1,0.0,55887,34.5
2821,Albemarle County,VA,16.5,21.0,5.5,52.2,91.4,8591,37158,0.6,2569,0.4,4.9,9.9,5.7,0.1,2.5,82.3,77.5,66.1,37964,43924,319200,2.47,23.8,67725,37239,10.2,404,9.8,720.7,11.3,83.3,3071,22.2,52.2,6838,98970,104489,5.5,137.3,1201,5305,16893,18213,0.0,3.1,5.8,1.7,0.0,9876,28.3
2925,Fairfax city,VA,15.4,23.5,9.0,51.9,92.0,2866,29657,8.1,2207,0.8,17.0,5.4,16.6,0.1,3.4,73.3,58.8,68.4,8492,8810,456700,2.65,23.7,97242,44345,7.2,54,25.2,6.24,31.8,81.7,0,31.7,50.7,1752,22565,24483,8.6,3616.8,1402,1922,18840,80800,0.0,22.1,4.1,8.9,0.0,5919,28.7
933,Johnson County,KS,12.7,25.3,6.7,51.7,95.6,46526,314916,3.3,17242,0.4,4.7,5.0,7.4,0.0,2.4,87.5,80.7,70.1,216304,233182,210900,2.53,22.7,74717,38827,6.5,2689,8.1,473.38,11.2,84.7,78476,20.7,51.0,33775,544179,574272,5.5,1149.6,10829,162520,92553,17598,0.8,3.3,2.1,1.9,0.0,57046,28.3
1311,Washtenaw County,MI,12.0,19.7,5.3,51.3,94.0,27876,143487,3.3,7971,0.4,8.7,12.8,4.4,0.1,3.3,74.6,71.0,60.8,135800,148470,198400,2.42,33.0,59055,33231,15.4,570,11.4,705.97,14.2,77.1,53317,23.0,50.7,16860,344791,356874,3.4,488.4,6135,36309,36810,10584,0.0,4.9,7.5,0.0,0.0,32615,33.1
840,Johnson County,IA,9.9,20.4,6.2,51.1,94.8,8843,59466,3.6,3186,0.3,6.0,5.9,5.5,0.0,2.4,85.4,80.6,59.7,54005,58783,186000,2.33,34.8,53424,29592,17.7,1080,9.3,614.04,13.3,73.4,0,18.2,50.2,6630,130882,142287,8.7,213.1,2587,5676,16530,13168,0.0,2.4,1.8,1.6,0.0,9323,26.7
1791,Somerset County,NJ,14.1,23.2,5.5,51.1,93.2,25267,184467,0.8,9925,0.3,16.6,9.9,14.2,0.1,1.9,71.2,58.7,78.0,115531,126015,398800,2.79,25.3,99020,47803,5.0,1310,23.3,301.81,29.6,92.2,64015,31.7,51.3,13757,323444,332568,2.8,1071.7,6561,146345,57559,17946,0.0,11.1,5.7,6.4,0.0,32225,27.5
1225,Middlesex County,MA,14.0,20.6,5.6,50.7,92.1,125980,836076,2.8,42829,0.3,11.1,5.5,7.5,0.1,2.2,80.9,74.6,62.7,581120,618931,398200,2.52,44.5,82090,42861,8.1,3241,19.3,817.82,25.0,86.0,224826,28.4,51.2,74275,1503085,1570315,4.5,1837.9,32502,328733,196611,13325,0.3,6.2,2.7,2.8,0.1,154765,31.1
2063,Delaware County,OH,11.5,27.6,6.1,50.5,96.0,15548,75839,1.5,4144,0.2,5.4,3.5,2.4,0.0,1.8,89.0,86.9,82.3,64208,69650,246300,2.73,13.4,89757,40189,4.9,914,6.1,443.1,8.1,88.4,23145,25.3,50.4,10274,174214,189113,8.6,393.2,3441,9984,23314,14508,0.0,4.2,2.1,0.0,0.0,16117,28.9
1787,Morris County,NJ,15.4,22.3,5.1,50.0,93.5,40290,274566,-1.4,16761,0.3,10.1,3.6,12.8,0.0,1.7,84.2,72.5,75.9,179665,191473,432400,2.71,25.4,98633,48814,4.4,1591,18.5,460.18,23.9,92.2,76316,30.0,51.0,23769,492276,499727,1.5,1069.8,11297,174400,87563,18032,0.0,7.2,2.1,5.2,0.0,52546,24.3
2209,Benton County,OR,14.3,16.9,4.1,50.0,94.6,5510,25350,1.5,2081,0.9,6.0,1.1,7.0,0.3,3.6,88.2,82.1,57.9,33384,37107,270500,2.42,29.3,48604,26738,22.5,451,8.8,675.94,12.0,78.5,5904,18.9,49.9,5561,85579,86316,0.9,126.6,1340,3870,6851,8398,0.0,3.4,0.0,0.0,0.0,7157,29.3
2919,Charlottesville city,VA,9.5,15.6,5.7,49.9,88.2,3768,31317,1.7,2013,0.4,7.1,19.2,4.9,0.1,3.2,69.9,66.1,40.5,17443,20291,293000,2.33,40.6,44601,27268,27.5,173,12.3,10.24,13.9,72.1,6770,17.4,51.7,1742,43475,45593,5.0,4246.4,3035,2034,6993,16950,0.0,3.3,0.0,1.3,0.0,4915,25.8
2952,Williamsburg city,VA,15.8,10.6,3.2,49.8,91.7,827,9728,1.4,513,0.3,6.4,15.0,7.1,0.1,3.1,75.1,69.2,44.7,4391,4978,311800,2.29,41.6,48616,23127,19.5,258,8.3,9.02,10.3,59.1,0,19.2,53.5,957,14068,14691,7.4,1559.3,2395,0,3230,26058,0.0,0.0,0.0,0.0,0.0,1437,22.7
910,Douglas County,KS,10.3,19.0,5.2,49.6,95.1,7712,36252,-1.7,2635,2.7,4.6,4.6,5.8,0.1,3.7,84.3,79.7,52.0,43398,48278,180300,2.38,31.7,49508,26342,19.0,347,6.5,455.87,9.9,71.6,9764,20.1,50.1,5957,110826,116585,5.2,243.1,2137,0,12022,10601,1.2,1.8,2.2,0.0,0.0,10251,31.2
1882,Tompkins County,NY,12.3,15.4,4.2,49.3,93.1,7170,46909,0.8,2346,0.4,10.4,4.4,4.7,0.1,3.2,81.5,77.9,56.3,38409,42080,169200,2.31,36.0,51393,27418,20.5,301,12.6,474.65,14.7,73.9,7428,19.0,50.7,4764,101564,104691,3.0,214.0,1777,1896,10182,10141,0.0,5.3,0.9,0.0,0.0,9665,32.1
2565,Collin County,TX,9.7,27.2,6.5,49.3,93.4,75827,336461,7.1,19906,0.7,12.9,9.6,15.1,0.1,2.5,74.2,60.4,68.2,289752,327567,206100,2.79,25.2,82762,37839,7.8,10635,17.6,841.23,24.8,85.5,74337,27.5,50.9,42843,782341,885241,13.2,930.0,13804,93748,123507,16850,0.9,10.0,4.6,7.2,0.0,78539,28.0
1227,Norfolk County,MA,15.7,21.6,5.4,49.2,93.7,52921,329894,2.6,19597,0.2,10.2,6.9,4.0,0.0,1.8,80.9,77.8,69.3,257451,272940,391100,2.56,37.2,84916,44692,6.6,1594,15.5,396.11,19.0,88.7,103407,31.5,52.1,38108,670850,692254,3.2,1693.6,12940,123988,112414,17133,0.3,6.2,2.9,1.5,0.0,68025,30.0
2991,Whitman County,WA,10.0,15.2,4.7,48.9,96.2,1962,9777,0.9,828,0.7,7.7,2.3,5.6,0.3,3.9,85.1,80.3,46.2,16624,19964,182300,2.35,40.2,36257,21208,32.6,218,9.4,2159.09,12.4,65.4,0,15.4,48.9,2526,44776,46827,4.6,20.7,489,3888,2710,6598,0.0,0.0,0.0,0.0,0.0,2531,21.5
2798,Summit County,UT,9.8,26.2,6.0,48.7,93.1,5615,26100,4.0,2144,0.6,1.7,0.7,11.6,0.2,1.5,95.4,84.7,74.4,13627,27215,485700,2.72,30.3,83336,42462,8.5,286,10.6,1871.71,12.8,87.1,0,24.1,48.9,1912,36324,39105,7.7,19.4,2288,1658,6598,18614,0.0,0.0,0.0,2.6,0.0,6422,25.3
3139,Teton County,WY,12.2,19.1,5.7,48.7,96.8,4609,15357,0.3,1952,1.0,1.3,1.2,15.2,0.1,1.5,94.9,80.9,59.1,7583,13269,660100,2.76,29.5,68078,43444,8.2,145,9.1,3995.38,15.1,86.0,0,14.5,48.2,1353,21294,22930,7.7,5.3,3273,0,5156,25688,0.0,0.5,0.0,3.3,0.0,5974,25.3
2258,Chester County,PA,14.5,23.5,5.7,48.5,92.8,39966,239228,4.5,13950,0.3,4.8,6.4,7.1,0.1,1.7,86.7,80.6,75.7,184788,195644,325200,2.64,17.6,86050,42210,6.9,1459,9.0,750.51,11.8,89.8,67530,27.4,50.8,31143,498886,512784,2.7,664.7,7832,85714,113384,23255,0.0,2.8,2.3,1.4,0.0,49835,26.5
446,Fulton County,GA,10.4,23.2,6.4,48.2,90.4,99463,723886,3.1,33874,0.3,6.7,44.3,7.6,0.1,2.0,46.7,40.5,53.9,368184,448897,238200,2.49,43.9,56857,36757,17.6,8098,12.9,526.64,16.7,79.9,104284,27.0,51.4,47038,920581,996319,8.2,1748.0,41338,408241,132396,13363,0.5,5.4,26.7,3.2,0.0,106113,32.3
298,Routt County,CO,12.3,19.2,4.4,48.0,96.9,3543,16630,-7.3,1592,0.6,0.8,0.6,7.0,0.1,1.5,96.4,90.1,70.6,9647,16387,390100,2.38,33.0,62002,34873,9.1,132,3.5,2362.03,4.7,81.3,0,17.3,47.6,1171,23509,23865,1.5,10.0,1843,1878,4214,18866,0.5,0.0,0.0,0.0,0.0,4913,20.3
1981,Wake County,NC,10.0,25.0,6.5,48.0,91.6,76044,409573,3.7,26040,0.8,6.4,21.3,10.0,0.1,2.3,69.0,61.0,65.2,348627,402020,229000,2.6,26.6,66006,33166,11.0,10125,12.8,835.22,16.6,83.3,140916,23.7,51.3,54713,900993,998691,10.8,1078.8,17266,113343,125981,15147,0.4,4.8,12.0,3.8,0.0,82932,28.6
3120,Albany County,WY,9.8,16.5,5.2,48.0,95.3,2453,9773,-1.1,1024,1.1,3.1,1.8,9.4,0.1,2.4,91.6,83.4,51.3,15257,18726,201500,2.25,33.3,42774,24758,26.0,99,5.4,4273.84,9.7,68.8,0,12.3,47.7,2289,36299,37811,4.2,8.5,657,1134,4687,14433,0.0,0.0,0.0,3.9,0.0,3318,32.2
303,Summit County,CO,10.8,16.3,4.6,47.7,95.7,4139,18614,2.0,2140,1.1,1.0,1.0,14.7,0.1,1.4,95.4,82.3,65.9,11138,30405,460000,2.48,56.5,63697,34025,13.7,207,11.9,608.36,15.2,79.2,0,16.8,45.9,1417,27994,29404,5.0,46.0,2816,0,6410,24434,0.0,0.0,0.0,0.0,0.0,5751,27.5
873,Story County,IA,10.7,17.1,4.9,47.7,95.5,5377,30774,3.6,2006,0.3,7.0,2.8,3.1,0.0,1.7,88.2,85.5,55.0,35196,38103,162200,2.34,37.2,50516,25986,20.9,539,8.3,572.82,9.3,67.8,19708,17.8,48.1,4787,89542,94073,5.1,156.3,1510,4320,9683,11361,0.0,2.1,0.0,0.0,0.0,7365,23.6
1783,Hunterdon County,NJ,15.7,21.2,3.9,47.6,94.2,11463,45457,1.5,3877,0.2,3.7,2.7,6.2,0.1,1.2,92.0,86.5,84.5,46816,49705,404300,2.61,14.9,106143,50349,4.0,348,8.4,427.82,10.8,91.7,0,33.6,50.6,7291,128349,126067,-1.0,300.0,1757,6294,21866,16865,0.0,3.4,0.0,0.0,0.0,15120,29.8
251,Broomfield County,CO,12.2,24.7,6.0,47.5,94.9,5010,33426,7.1,1810,0.8,6.3,1.4,12.0,0.1,2.5,88.8,78.0,68.3,22016,25900,275900,2.59,25.0,77998,37442,7.1,820,8.6,33.03,13.8,81.1,22554,26.2,50.4,3824,55889,62138,11.2,1691.9,1634,0,11398,21240,0.0,3.9,1.3,2.0,0.0,6284,0.0
290,Ouray County,CO,24.6,17.0,3.4,47.5,98.4,873,963,4.0,263,0.5,0.6,0.2,5.5,0.1,1.8,96.8,91.9,75.4,1943,3151,383900,2.3,10.6,64601,33015,5.6,33,2.9,541.59,6.4,79.8,0,22.8,50.9,551,4436,4629,4.4,8.2,212,10,269,6131,0.0,0.0,0.0,0.0,0.0,1117,26.5
2809,Chittenden County,VT,13.2,18.7,4.9,47.4,93.9,13650,89448,6.3,5523,0.3,3.5,2.4,2.2,0.0,2.1,91.7,89.9,65.1,62587,67271,267500,2.37,35.1,63989,33281,11.2,533,7.2,536.58,8.4,81.5,48235,20.1,51.1,9404,156545,160531,2.5,291.7,3607,23924,27409,18188,0.0,0.0,0.8,1.0,0.0,17895,28.2
1492,Boone County,MO,10.5,20.5,6.0,47.3,93.0,10871,71502,2.1,4447,0.4,4.4,9.6,3.2,0.1,2.8,82.6,80.0,57.1,65649,73174,162200,2.38,29.4,48627,26895,20.0,1414,6.3,685.41,8.3,73.3,0,18.2,51.6,9703,162642,172717,6.2,237.3,3151,6103,30122,19777,0.3,2.4,0.0,0.9,0.0,14676,24.6
263,Eagle County,CO,8.1,23.2,6.1,47.0,88.7,6887,29062,-3.3,3217,1.4,1.2,1.0,30.0,0.1,1.2,95.1,67.1,66.0,17966,31528,453300,2.9,38.9,74456,39497,10.9,256,19.2,1684.53,29.6,87.8,0,20.0,47.0,1763,52197,52921,1.4,31.0,4696,0,9287,18367,1.0,0.0,0.0,3.6,0.0,9437,26.3
2970,King County,WA,12.2,21.0,6.2,46.6,92.1,151561,1051249,3.3,64171,1.1,16.4,6.7,9.4,0.8,4.9,70.1,62.4,58.2,802606,880462,377300,2.42,38.2,71811,39911,11.5,14703,20.7,2115.57,25.9,81.5,373907,27.0,50.0,119707,1931249,2079967,7.7,912.9,54789,410426,371538,20002,0.9,10.9,3.3,2.8,0.3,196686,29.0
3060,Dane County,WI,11.9,21.1,6.0,46.6,94.7,35012,259423,1.8,13388,0.5,5.6,5.4,6.2,0.1,2.5,86.1,80.7,59.5,206982,222374,228800,2.33,38.8,61721,33712,12.9,3543,8.0,1197.24,11.6,80.0,69681,20.8,50.4,28261,488073,516284,5.8,407.7,9167,60429,71324,14976,0.3,1.9,2.5,1.1,0.0,41464,27.5
228,Santa Clara County,CA,12.2,23.1,6.5,46.5,86.5,128730,926766,3.5,46212,1.3,34.9,2.9,26.6,0.5,4.0,56.4,33.3,57.5,609377,651156,645600,2.92,33.0,91702,41513,10.2,9932,37.1,1290.1,51.2,84.5,450887,25.0,49.7,66749,1781642,1894605,6.3,1381.0,41475,606440,264914,15367,1.0,28.5,0.0,10.8,0.4,156084,29.7
616,DuPage County,IL,13.5,23.4,5.9,46.3,92.1,77413,583086,1.5,33329,0.4,11.4,5.2,14.1,0.1,1.8,81.1,68.1,74.4,336028,357407,286500,2.71,27.7,78487,38570,6.9,1341,18.4,327.5,26.3,88.2,168624,28.9,51.0,42246,916924,932708,1.7,2799.8,22262,495749,180433,19550,0.0,8.4,2.3,4.0,0.0,101546,26.1
1613,Gallatin County,MT,11.2,20.5,5.8,46.0,96.1,11075,38950,4.1,4962,1.0,1.4,0.4,3.1,0.1,1.9,95.1,92.4,61.8,36973,44870,261900,2.36,28.2,52833,28939,14.1,1191,2.7,2602.69,4.2,75.2,5126,16.8,48.6,5744,89513,97308,8.7,34.4,3257,5088,17917,20524,0.8,0.5,0.0,1.1,0.0,14742,23.7
1775,Bergen County,NJ,16.0,21.7,5.2,45.9,91.3,86102,429410,3.0,31524,0.4,16.3,6.8,18.5,0.1,1.9,74.4,58.6,65.6,335422,356335,451400,2.69,40.9,83794,43347,7.2,3408,29.6,233.01,38.7,92.4,119738,30.8,51.6,37238,905116,933572,3.1,3884.5,18483,661178,164749,18602,0.3,13.3,4.6,8.4,0.0,106754,27.1
1340,Hennepin County,MN,12.5,22.3,6.6,45.8,92.3,99234,865255,1.7,39230,1.2,7.2,12.6,6.8,0.1,3.1,75.9,70.3,63.7,481263,522864,230900,2.38,36.3,64403,37485,12.8,4665,12.9,553.59,16.7,82.6,209576,22.7,50.8,65058,1152425,1212064,5.2,2081.7,32791,344725,222788,19646,0.7,3.4,5.2,1.3,0.0,123360,28.8
1445,Madison County,MS,12.3,25.6,6.5,45.8,89.2,9961,45064,5.3,2897,0.4,2.4,38.3,2.8,0.1,0.8,58.1,55.9,70.3,36342,41147,201200,2.63,19.2,59904,33170,12.7,742,4.0,714.51,5.8,88.6,64719,23.0,52.1,5516,95203,101688,6.8,133.2,1805,33059,12684,14172,0.0,1.9,17.5,0.0,0.0,11036,24.7
2866,James City County,VA,22.8,21.0,5.1,45.8,93.5,4882,26035,-1.6,1651,0.4,2.6,13.6,5.5,0.1,2.7,80.6,76.0,76.2,26883,31742,327100,2.5,17.4,76960,39133,8.7,709,7.2,142.44,7.2,88.4,15672,24.5,51.7,8923,67009,72583,7.7,470.4,1643,1400,6588,10752,0.0,0.0,6.2,0.0,0.0,6530,26.2
2289,Montgomery County,PA,16.4,22.0,5.6,45.5,93.5,66225,480721,1.4,25988,0.2,7.4,9.4,4.8,0.1,1.9,81.0,77.1,73.2,307488,327451,292600,2.55,24.4,79183,41472,6.1,1752,9.7,483.04,12.5,89.7,203987,27.5,51.4,50355,799874,816857,2.1,1655.9,14779,120124,151512,19534,0.0,4.6,3.3,0.0,0.0,84682,25.9
1887,Westchester County,NY,15.6,22.9,5.7,45.4,87.6,92896,377971,-0.1,31680,0.8,6.2,16.1,23.7,0.1,2.3,74.4,55.0,61.9,343561,369864,518400,2.71,49.1,81946,47984,9.5,584,25.0,430.5,32.7,89.7,41228,32.1,51.7,38943,949113,972634,2.5,2204.7,17992,200595,142050,15007,0.0,5.5,8.9,10.0,0.0,120727,29.6
